,0
0,15.52551
1,13.972257
2,13.786945
3,16.18884
4,17.154692
5,18.795364
6,20.54914
7,21.830307
8,22.631735
9,22.608894
10,23.365269
11,23.45781
12,20.776468
13,20.320099
14,19.750317
15,16.693956
16,19.880642
17,20.222904
18,18.784388
19,21.416786
20,22.793737
21,19.308933
22,21.484472
23,20.896938
24,19.418058
25,19.534258
26,18.566122
27,18.498
28,18.892708
29,18.793037
30,19.855686
31,17.93606
32,19.38343
33,18.866444
34,16.210136
35,15.989373
36,16.649734
37,18.018362
38,17.130043
39,18.957314
40,16.864063
41,16.942692
42,17.134632
43,17.212706
44,17.089504
45,16.13552
46,16.321383
47,15.181602
48,16.42656
49,16.917498
50,14.803225
51,14.9284315
52,13.098943
53,18.40064
54,17.415983
55,15.953433
56,18.12274
57,18.984818
58,20.01683
59,21.573328
60,21.874605
61,21.987715
62,23.049015
63,22.905825
64,24.066153
65,24.165655
66,21.840998
67,22.1575
68,23.071545
69,20.934448
70,20.802137
71,21.968987
72,19.510702
73,16.83495
74,17.935774
75,22.303051
76,22.004501
77,22.945757
78,22.843937
79,20.520134
80,21.428232
81,20.535849
82,20.070642
83,18.280138
84,20.569614
85,19.812592
86,19.945595
87,19.522501
88,19.878647
89,19.22698
90,18.60721
91,19.82267
92,18.274408
93,18.507036
94,19.214544
95,19.637646
96,20.064144
97,19.903656
98,19.297333
99,19.909878
100,19.903162
101,18.8511
102,18.2994
103,16.459072
104,16.86167
105,17.377401
106,17.005188
107,16.381964
108,15.370661
109,15.008434
110,16.899963
111,17.40301
112,15.741262
113,16.910704
114,15.202382
115,15.849388
116,17.345974
117,15.788015
118,15.703532
119,16.193836
120,13.988154
121,13.272371
122,14.545192
123,12.449864
124,14.799848
125,13.704508
126,16.01901
127,16.566261
128,13.738851
129,14.472919
130,14.336708
131,14.213978
132,16.136793
133,14.140233
134,15.76481
135,14.605557
136,16.074612
137,14.499372
138,13.603952
139,12.705504
140,12.704917
141,13.544909
142,14.550475
143,15.0044775
144,14.326635
145,14.750587
146,14.082528
147,11.31705
148,9.761741
149,10.974981
150,11.343295
151,12.073803
152,12.218529
153,11.67551
154,11.765174
155,10.962936
156,10.217009
157,9.381422
158,10.979735
159,10.879829
160,11.612913
161,11.839782
162,11.723434
163,11.511296
164,11.687254
165,11.577607
166,11.550755
167,11.271603
168,11.096327
169,10.9824095
170,10.799251
171,10.312241
172,9.062792
173,8.099841
174,7.2670465
175,7.2245774
176,6.632618
177,6.4612627
178,5.9113817
179,5.238023
180,4.6812325
181,3.9240572
182,4.6404943
183,4.648839
184,3.722973
185,3.0483096
186,3.5074117
187,2.843818
188,4.08742
189,4.408942
190,4.625954
191,4.6695724
192,4.962262
193,4.729909
194,5.5583224
195,5.390353
196,4.833816
197,4.4591146
198,4.1378036
199,4.584424
200,4.7061653
201,4.9858947
202,4.3256407
203,4.3166904
204,4.5923514
205,4.1165714
206,3.48992
207,3.688927
208,3.7120159
209,3.7758071
210,3.5281012
211,2.9089463
212,2.8391783
213,2.9314692
214,2.5107243
215,2.6126769
216,2.93728
217,2.824443
218,2.9204361
219,2.906151
220,2.8232014
221,2.456959
222,2.2092154
223,1.9730018
224,1.7153763
225,1.5189489
226,1.8145107
227,1.7848591
228,2.5481093
229,2.512771
230,2.1365979
231,2.2419283
232,1.7289842
233,2.2242405
234,2.16941
235,2.1266215
236,2.1020892
237,1.9211792
238,2.3256924
239,1.9807905
240,2.18131
241,2.5196335
242,2.9022915
243,2.7675755
244,2.625209
245,2.3386433
246,2.111194
247,1.8591188
248,1.6449875
249,1.5350527
250,1.7453636
251,1.4078058
252,1.1939129
253,0.8290514
254,0.872496
255,0.96640813
256,1.3167461
257,1.2168392
258,1.0987915
259,0.9872917
260,1.3902696
261,1.4097065
262,1.3602079
263,1.3491853
264,1.2721685
265,1.7523426
266,2.2181208
267,2.8177416
268,3.425017
269,3.1482399
